Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant ",15.00 $,12.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course ",80.00 $,60.00-100.00
McMeal at McDonalds (or Equivalent Combo Meal) ,8.00 $,7.00-10.00
Domestic Beer (1 pint draught) ,6.00 $,5.00-8.00
Imported Beer (12 oz small bottle) ,7.00 $,6.00-8.00
Cappuccino (regular) ,4.45 $,3.50-5.00
Coke/Pepsi (12 oz small bottle) ,2.27 $,1.60-3.50
Water (12 oz small bottle) ,1.93 $,1.00-2.50
Markets,[ Edit ],
"Milk (regular), (1 gallon) ",4.25 $,3.50-6.00
Loaf of Fresh White Bread (1 lb) ,3.44 $,2.50-5.00
"Rice (white), (1 lb) ",2.11 $,1.00-3.50
Eggs (regular) (12) ,3.34 $,2.89-4.00
Local Cheese (1 lb) ,11.05 $,5.00-18.00
"Chicken Breasts (Boneless, Skinless), (1 lb) ",6.05 $,4.00-9.00
Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,8.21 $,5.69-12.00
Apples (1 lb) ,1.96 $,1.00-3.00
Banana (1 lb) ,1.16 $,0.79-1.80
Oranges (1 lb) ,1.47 $,1.00-2.50
Tomato (1 lb) ,2.28 $,1.00-3.00
Potato (1 lb) ,1.61 $,0.99-2.00
Onion (1 lb) ,1.26 $,0.99-2.00
Lettuce (1 head) ,1.71 $,0.99-3.00
Water (1.5 liter bottle) ,1.72 $,1.00-2.49
Bottle of Wine (Mid-Range) ,15.00 $,11.00-25.00
Domestic Beer (0.5 liter bottle) ,1.86 $,1.20-3.00
Imported Beer (12 oz small bottle) ,2.71 $,1.75-3.49
Cigarettes 20 Pack (Marlboro) ,9.75 $,8.00-12.00
Transportation,[ Edit ],
One-way Ticket (Local Transport) ,2.75 $,2.50-2.75
Monthly Pass (Regular Price) ,78.00 $,75.00-94.00
Taxi Start (Normal Tariff) ,3.50 $,3.50-4.25
Taxi 1 mile (Normal Tariff) ,3.10 $,2.75-5.70
Taxi 1hour Waiting (Normal Tariff) ,33.00 $,30.00-33.00
Gasoline (1 gallon) ,3.78 $,3.50-4.00
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,"22,040.00 $","20,000.00-28,000.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car) ,"21,129.88 $","18,000.00-25,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment ",116.09 $,56.67-200.00
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.09 $,0.01-0.15
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",65.81 $,50.00-95.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult ",80.79 $,45.00-150.00
Tennis Court Rent (1 Hour on Weekend) ,19.00 $,8.00-40.00
"Cinema, International Release, 1 Seat ",14.00 $,12.00-16.00
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","2,173.68 $","1,300.00-3,000.00"
"International Primary School, Yearly for 1 Child ","26,190.00 $","15,000.00-35,000.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar) ,60.67 $,34.00-90.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",42.05 $,30.00-70.00
1 Pair of Nike Running Shoes (Mid-Range) ,86.29 $,70.00-110.00
1 Pair of Men Leather Business Shoes ,136.29 $,85.00-220.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre ,"3,366.36 $","2,500.00-4,000.00"
Apartment (1 bedroom) Outside of Centre ,"2,736.89 $","2,000.00-3,153.62"
Apartment (3 bedrooms) in City Centre ,"5,743.88 $","4,500.00-7,500.00"
Apartment (3 bedrooms) Outside of Centre ,"4,356.71 $","3,500.00-5,500.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre ,"1,163.16 $","999.99-1,304.89"
Price per Square Feet to Buy Apartment Outside of Centre ,893.36 $,"699.99-1,099.99"
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax) ,"6,145.51 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",4.32,3.75-4.75
"Prices in San Francisco, California",,
These data are based on 2353 entries in the past 18 months from 394 different contributors. ,,
Last update: March 2019,,